observation_id,observed_on,created_at,quality_grade,place_guess,latitude,longitude,taxon_id,scientific_name,preferred_common_name,rank,iconic_taxon_name,observer_login,uri,photo_url,source
357966642,2026-05-03,2026-05-03T13:55:44-03:00,research,"Puerto Madero, Cdad. Autónoma de Buenos Aires, Argentina",-34.6111001,-58.3575591,168866,Sesbania virgata,wand riverhemp,species,Plantae,arigrunfeld,https://www.inaturalist.org/observations/357966642,https://inaturalist-open-data.s3.amazonaws.com/photos/652955399/medium.jpg,iNaturalist / ArgentiNat API: observations
357564996,2026-05-01,2026-05-02T13:20:37-03:00,research,"Villa Soldati, Cdad. Autónoma de Buenos Aires, Argentina",-34.6620657685,-58.4645011708,209991,Salix humboldtiana,Humboldt's Willow,species,Plantae,diegogallotti,https://www.inaturalist.org/observations/357564996,https://inaturalist-open-data.s3.amazonaws.com/photos/652169836/medium.jpg,iNaturalist / ArgentiNat API: observations
358085706,2026-05-03,2026-05-03T19:21:39-03:00,research,"RN40, La Rioja, Argentina",-29.3441219167,-67.7351608056,71230,Tessaria absinthioides,,species,Plantae,arapanza,https://www.inaturalist.org/observations/358085706,https://inaturalist-open-data.s3.amazonaws.com/photos/653183783/medium.jpg,iNaturalist / ArgentiNat API: observations
342635708,2026-03-12,2026-03-12T18:10:39-03:00,research,"Camino Playa Larga, Tierra del Fuego, AR",-54.8054166667,-68.2191616667,465229,Ribes magellanicum,Patagonian wild currant,species,Plantae,betsysnow,https://www.inaturalist.org/observations/342635708,https://inaturalist-open-data.s3.amazonaws.com/photos/623997044/medium.jpg,iNaturalist / ArgentiNat API: observations
352401678,2026-04-23,2026-04-23T20:16:29-03:00,research,"Gualeguaychú, Entre Ríos, Argentina",-33.0110797741,-58.4892955005,78233,Nothoscordum gracile,Onion Weed,species,Plantae,gustavopuente,https://www.inaturalist.org/observations/352401678,https://inaturalist-open-data.s3.amazonaws.com/photos/643196026/medium.jpg,iNaturalist / ArgentiNat API: observations
358098031,2026-05-03,2026-05-03T20:01:13-03:00,research,"Mercedes, Corrientes, Argentina",-28.5548719722,-57.215034,790108,Araujia angustifolia,,species,Plantae,pablohcapovilla,https://www.inaturalist.org/observations/358098031,https://inaturalist-open-data.s3.amazonaws.com/photos/653208878/medium.jpg,iNaturalist / ArgentiNat API: observations
350134681,2026-04-14,2026-04-15T20:01:31-03:00,research,"Sendero Villa Catedral - Refugio Frey, Río Negro, AR",-41.1996466667,-71.4365216667,428960,Mutisia decurrens,carnation of the field,species,Plantae,hdyer1989,https://www.inaturalist.org/observations/350134681,https://inaturalist-open-data.s3.amazonaws.com/photos/638802656/medium.jpg,iNaturalist / ArgentiNat API: observations
347043237,2026-04-03,2026-04-03T14:40:47-03:00,research,"Tierra del Fuego, Ushuaia, Tierra del Fuego, AR",-54.8104987791,-68.3445095432,465228,Gunnera magellanica,Pigvine,species,Plantae,naturedocentintraining,https://www.inaturalist.org/observations/347043237,https://inaturalist-open-data.s3.amazonaws.com/photos/632705291/medium.jpg,iNaturalist / ArgentiNat API: observations
358049408,2026-05-03,2026-05-03T17:37:33-03:00,research,"Triunvirato 7934, B1682 Billinghurst, Provincia de Buenos Aires, Argentina",-34.5707778,-58.5881333,131169,Mikania cordifolia,Florida Keys Hempvine,species,Plantae,franco_montano,https://www.inaturalist.org/observations/358049408,https://inaturalist-open-data.s3.amazonaws.com/photos/653112801/medium.jpg,iNaturalist / ArgentiNat API: observations
358423180,2026-05-04,2026-05-04T18:30:45-03:00,research,"Ramallo, Provincia de Buenos Aires, Argentina",-33.4470367222,-60.0567283611,52355,Pavonia hastata,Spearleaf Swampmallow,species,Plantae,leogsantoro,https://www.inaturalist.org/observations/358423180,https://static.inaturalist.org/photos/653848603/medium.jpg,iNaturalist / ArgentiNat API: observations
